round,player_fund,dealer_fund
8886,-29.460000000001042,4502.4600000001055
8887,-28.48000000000104,4502.480000000106
8888,-29.48000000000104,4503.480000000106
8889,-30.48000000000104,4504.480000000106
8890,-31.48000000000104,4505.480000000106
8891,-32.48000000000104,4506.480000000106
8892,-33.48000000000104,4507.480000000106
8893,-34.48000000000104,4508.480000000106
8894,-35.48000000000104,4509.480000000106
8895,-36.48000000000104,4510.480000000106
8896,-37.48000000000104,4511.480000000106
8897,-36.500000000001044,4511.500000000106
8898,-35.52000000000105,4511.520000000107
8899,-36.52000000000105,4512.520000000107
8900,-37.52000000000105,4513.520000000107
8901,-38.52000000000105,4514.520000000107
8902,-37.54000000000105,4514.540000000107
8903,-36.560000000001054,4514.560000000108
8904,-35.58000000000106,4514.580000000108
8905,-34.60000000000106,4514.600000000109
8906,-33.62000000000106,4514.620000000109
8907,-32.640000000001066,4514.6400000001095
8908,-31.660000000001066,4514.66000000011
8909,-32.66000000000106,4515.66000000011
8910,-33.66000000000106,4516.66000000011
8911,-32.680000000001066,4516.68000000011
8912,-31.700000000001065,4516.700000000111
8913,-30.720000000001065,4516.720000000111
8914,-31.720000000001065,4517.720000000111
8915,-30.740000000001064,4517.740000000112
8916,-31.740000000001064,4518.740000000112
8917,-30.760000000001064,4518.760000000112
8918,-31.760000000001064,4519.760000000112
8919,-32.760000000001064,4520.760000000112
8920,-33.760000000001064,4521.760000000112
8921,-34.760000000001064,4522.760000000112
8922,-33.78000000000107,4522.7800000001125
8923,-34.78000000000107,4523.7800000001125
8924,-33.80000000000107,4523.800000000113
8925,-32.82000000000107,4523.820000000113
8926,-31.840000000001073,4523.840000000114
8927,-30.860000000001072,4523.860000000114
8928,-29.880000000001072,4523.880000000115
8929,-28.90000000000107,4523.900000000115
8930,-27.92000000000107,4523.920000000116
8931,-28.92000000000107,4524.920000000116
8932,-29.92000000000107,4525.920000000116
8933,-28.94000000000107,4525.940000000116
8934,-29.94000000000107,4526.940000000116
8935,-30.94000000000107,4527.940000000116
8936,-29.96000000000107,4527.960000000116
8937,-28.98000000000107,4527.980000000117
8938,-28.00000000000107,4528.000000000117
8939,-29.00000000000107,4529.000000000117
8940,-30.00000000000107,4530.000000000117
8941,-29.02000000000107,4530.020000000118
8942,-28.04000000000107,4530.040000000118
8943,-27.060000000001068,4530.060000000119
8944,-28.060000000001068,4531.060000000119
8945,-29.060000000001068,4532.060000000119
8946,-30.060000000001068,4533.060000000119
8947,-31.060000000001068,4534.060000000119
8948,-30.080000000001068,4534.080000000119
8949,-29.100000000001067,4534.1000000001195
8950,-28.120000000001067,4534.12000000012
8951,-27.140000000001066,4534.14000000012
8952,-26.160000000001066,4534.160000000121
8953,-27.160000000001066,4535.160000000121
8954,-28.160000000001066,4536.160000000121
8955,-29.160000000001066,4537.160000000121
8956,-30.160000000001066,4538.160000000121
8957,-29.180000000001066,4538.180000000121
8958,-28.200000000001065,4538.200000000122
8959,-27.220000000001065,4538.220000000122
8960,-26.240000000001064,4538.240000000123
8961,-25.260000000001064,4538.260000000123
8962,-26.260000000001064,4539.260000000123
8963,-25.280000000001063,4539.280000000123
8964,-24.300000000001063,4539.300000000124
8965,-23.320000000001063,4539.320000000124
8966,-22.340000000001062,4539.340000000125
8967,-23.340000000001062,4540.340000000125
8968,-22.36000000000106,4540.360000000125
8969,-21.38000000000106,4540.380000000126
8970,-20.40000000000106,4540.400000000126
8971,-19.42000000000106,4540.4200000001265
8972,-20.42000000000106,4541.4200000001265
8973,-21.42000000000106,4542.4200000001265
8974,-20.44000000000106,4542.440000000127
8975,-21.44000000000106,4543.440000000127
8976,-20.46000000000106,4543.460000000127
8977,-19.48000000000106,4543.480000000128
8978,-18.50000000000106,4543.500000000128
8979,-17.52000000000106,4543.520000000129
8980,-16.540000000001058,4543.540000000129
8981,-15.560000000001057,4543.56000000013
8982,-16.560000000001057,4544.56000000013
8983,-17.560000000001057,4545.56000000013
8984,-16.580000000001057,4545.58000000013
8985,-17.580000000001057,4546.58000000013
8986,-16.600000000001057,4546.60000000013
8987,-17.600000000001057,4547.60000000013
8988,-16.620000000001056,4547.620000000131
8989,-17.620000000001056,4548.620000000131
8990,-16.640000000001056,4548.640000000131
8991,-17.640000000001056,4549.640000000131
8992,-18.640000000001056,4550.640000000131
8993,-17.660000000001055,4550.660000000132
8994,-18.660000000001055,4551.660000000132
8995,-19.660000000001055,4552.660000000132
8996,-18.680000000001055,4552.680000000132
