player,player_fund,dealer_fund,round
867,30,0,226
868,0,30,24
869,0,30,48
870,30,0,100
871,0,30,224
872,0,30,32
873,0,30,376
874,0,30,388
875,0,30,112
876,30,0,198
877,0,30,46
878,0,30,134
879,0,30,28
880,30,0,384
881,0,30,96
882,0,30,80
883,0,30,52
884,0,30,172
885,0,30,110
886,0,30,36
887,30,0,146
888,0,30,220
889,30,0,292
890,30,0,466
891,0,30,88
892,0,30,46
893,0,30,60
894,30,0,90
895,0,30,74
896,30,0,262
897,0,30,98
898,0,30,38
899,0,30,28
900,30,0,230
901,30,0,154
902,30,0,84
903,0,30,416
904,0,30,12
905,0,30,230
906,0,30,148
907,0,30,48
908,30,0,270
909,30,0,338
910,30,0,352
911,0,30,150
912,0,30,454
913,0,30,426
914,0,30,128
915,0,30,110
916,0,30,76
917,30,0,268
918,30,0,402
919,0,30,224
920,0,30,166
921,0,30,162
922,0,30,768
923,0,30,44
924,30,0,238
925,0,30,34
926,30,0,154
927,0,30,130
928,30,0,136
929,0,30,32
930,0,30,48
931,30,0,434
932,30,0,322
933,0,30,74
934,0,30,42
935,30,0,172
936,0,30,40
937,30,0,96
938,30,0,390
939,30,0,400
940,0,30,342
941,0,30,520
942,0,30,104
943,30,0,80
944,0,30,64
945,30,0,314
946,0,30,42
947,0,30,246
948,0,30,276
949,30,0,302
950,0,30,34
951,0,30,50
952,0,30,212
953,0,30,172
954,0,30,90
955,0,30,70
956,30,0,794
957,30,0,478
958,30,0,466
959,30,0,202
960,30,0,130
961,30,0,212
962,30,0,544
963,30,0,120
964,30,0,102
965,0,30,44
966,0,30,110
967,0,30,68
968,30,0,242
969,30,0,314
970,30,0,122
971,0,30,102
972,0,30,264
973,0,30,88
974,0,30,136
975,0,30,476
976,0,30,106
977,0,30,454
978,0,30,214
979,0,30,16
980,0,30,28
981,0,30,168
982,30,0,118
983,0,30,130
984,0,30,246
985,30,0,214
986,0,30,30
987,0,30,266
988,0,30,40
989,0,30,88
990,30,0,304
991,30,0,190
992,0,30,60
993,30,0,146
994,30,0,92
995,0,30,50
996,0,30,782
997,0,30,38
998,0,30,92
999,30,0,402
1000,0,30,164
